Player: t: 0.00, MSLAlt: 1279.81, speed(m/s): 240.83, heading: 5.50, x: -302927.78, y: 1279.81, z: 678108.13, pitch: 1.74, bank: -0.00, yaw: 314.88 Emitters.Mode: 0 
Player: t: 0.02, MSLAlt: 1279.81, speed(m/s): 240.83, heading: 5.50, x: -302924.88, y: 1279.81, z: 678105.21, pitch: 1.74, bank: 0.00, yaw: 314.88 Emitters.Mode: 0 
Player: t: 0.04, MSLAlt: 1279.81, speed(m/s): 240.83, heading: 5.50, x: -302921.44, y: 1279.81, z: 678101.75, pitch: 1.73, bank: 0.00, yaw: 314.88 Emitters.Mode: 0 
Player: t: 0.06, MSLAlt: 1279.81, speed(m/s): 236.72, heading: 5.50, x: -302916.37, y: 1279.81, z: 678096.65, pitch: 1.65, bank: 0.01, yaw: 314.88 Emitters.Mode: 0 
Player: t: 0.11, MSLAlt: 1279.80, speed(m/s): 236.61, heading: 5.50, x: -302908.04, y: 1279.80, z: 678088.28, pitch: 1.49, bank: 0.03, yaw: 314.87 Emitters.Mode: 0 
Player: t: 0.12, MSLAlt: 1279.80, speed(m/s): 236.57, heading: 5.50, x: -302905.50, y: 1279.80, z: 678085.73, pitch: 1.46, bank: 0.03, yaw: 314.87 Emitters.Mode: 0 
Player: t: 0.14, MSLAlt: 1279.79, speed(m/s): 236.57, heading: 5.50, x: -302902.79, y: 1279.79, z: 678083.01, pitch: 1.41, bank: 0.04, yaw: 314.87 Emitters.Mode: 0 
Player: t: 0.15, MSLAlt: 1279.79, speed(m/s): 236.52, heading: 5.49, x: -302899.89, y: 1279.79, z: 678080.10, pitch: 1.39, bank: 0.05, yaw: 314.86 Emitters.Mode: 0 
Player: t: 0.17, MSLAlt: 1279.78, speed(m/s): 236.46, heading: 5.49, x: -302897.18, y: 1279.78, z: 678077.37, pitch: 1.35, bank: 0.06, yaw: 314.86 Emitters.Mode: 0 
Player: t: 0.18, MSLAlt: 1279.77, speed(m/s): 236.41, heading: 5.49, x: -302894.46, y: 1279.77, z: 678074.64, pitch: 1.33, bank: 0.06, yaw: 314.86 Emitters.Mode: 0 
Player: t: 0.20, MSLAlt: 1279.76, speed(m/s): 236.36, heading: 5.49, x: -302891.39, y: 1279.76, z: 678071.55, pitch: 1.30, bank: 0.07, yaw: 314.85 Emitters.Mode: 0 
Player: t: 0.21, MSLAlt: 1279.75, speed(m/s): 236.36, heading: 5.49, x: -302889.04, y: 1279.75, z: 678069.19, pitch: 1.28, bank: 0.08, yaw: 314.85 Emitters.Mode: 0 
Player: t: 0.23, MSLAlt: 1279.74, speed(m/s): 236.29, heading: 5.49, x: -302885.97, y: 1279.74, z: 678066.10, pitch: 1.26, bank: 0.09, yaw: 314.85 Emitters.Mode: 0 
Player: t: 0.25, MSLAlt: 1279.73, speed(m/s): 236.24, heading: 5.49, x: -302883.07, y: 1279.73, z: 678063.20, pitch: 1.24, bank: 0.09, yaw: 314.84 Emitters.Mode: 0 
Player: t: 0.26, MSLAlt: 1279.72, speed(m/s): 236.19, heading: 5.49, x: -302880.36, y: 1279.71, z: 678060.47, pitch: 1.23, bank: 0.10, yaw: 314.84 Emitters.Mode: 0 
Player: t: 0.28, MSLAlt: 1279.70, speed(m/s): 236.19, heading: 5.49, x: -302877.47, y: 1279.70, z: 678057.57, pitch: 1.21, bank: 0.10, yaw: 314.84 Emitters.Mode: 0 
Player: t: 0.29, MSLAlt: 1279.68, speed(m/s): 236.13, heading: 5.49, x: -302874.58, y: 1279.68, z: 678054.66, pitch: 1.20, bank: 0.11, yaw: 314.83 Emitters.Mode: 0 
Player: t: 0.31, MSLAlt: 1279.67, speed(m/s): 236.08, heading: 5.49, x: -302872.05, y: 1279.67, z: 678052.12, pitch: 1.19, bank: 0.11, yaw: 314.83 Emitters.Mode: 0 
Player: t: 0.32, MSLAlt: 1279.66, speed(m/s): 236.03, heading: 5.49, x: -302869.34, y: 1279.65, z: 678049.40, pitch: 1.18, bank: 0.11, yaw: 314.83 Emitters.Mode: 0 
Player: t: 0.34, MSLAlt: 1279.63, speed(m/s): 235.96, heading: 5.49, x: -302866.27, y: 1279.63, z: 678046.32, pitch: 1.16, bank: 0.12, yaw: 314.83 Emitters.Mode: 0 
Player: t: 0.35, MSLAlt: 1279.61, speed(m/s): 235.96, heading: 5.49, x: -302863.57, y: 1279.61, z: 678043.59, pitch: 1.15, bank: 0.12, yaw: 314.82 Emitters.Mode: 0 
Player: t: 0.37, MSLAlt: 1279.59, speed(m/s): 235.91, heading: 5.49, x: -302860.68, y: 1279.59, z: 678040.69, pitch: 1.14, bank: 0.12, yaw: 314.82 Emitters.Mode: 0 
