Player: t: 0.00, MSLAlt: 1276.74, speed(m/s): 240.87, heading: 3.36, x: -275178.91, y: 1276.74, z: 685569.50, pitch: 1.74, bank: -0.00, yaw: 192.31 Emitters.Mode: 0 
Player: t: 0.02, MSLAlt: 1276.74, speed(m/s): 240.87, heading: 3.36, x: -275182.92, y: 1276.74, z: 685568.62, pitch: 1.74, bank: 0.00, yaw: 192.31 Emitters.Mode: 0 
Player: t: 0.04, MSLAlt: 1276.74, speed(m/s): 240.87, heading: 3.36, x: -275188.19, y: 1276.74, z: 685567.48, pitch: 1.71, bank: 0.02, yaw: 192.30 Emitters.Mode: 0 
Player: t: 0.06, MSLAlt: 1276.74, speed(m/s): 243.12, heading: 3.36, x: -275194.97, y: 1276.74, z: 685566.00, pitch: 1.64, bank: 0.09, yaw: 192.28 Emitters.Mode: 0 
Player: t: 0.11, MSLAlt: 1276.73, speed(m/s): 243.01, heading: 3.35, x: -275206.25, y: 1276.73, z: 685563.53, pitch: 1.46, bank: 0.30, yaw: 192.22 Emitters.Mode: 0 
Player: t: 0.13, MSLAlt: 1276.73, speed(m/s): 242.96, heading: 3.35, x: -275210.77, y: 1276.73, z: 685562.54, pitch: 1.41, bank: 0.40, yaw: 192.19 Emitters.Mode: 0 
Player: t: 0.14, MSLAlt: 1276.73, speed(m/s): 242.91, heading: 3.35, x: -275214.28, y: 1276.73, z: 685561.78, pitch: 1.38, bank: 0.47, yaw: 192.16 Emitters.Mode: 0 
Player: t: 0.16, MSLAlt: 1276.72, speed(m/s): 242.91, heading: 3.35, x: -275218.29, y: 1276.72, z: 685560.90, pitch: 1.34, bank: 0.58, yaw: 192.12 Emitters.Mode: 0 
Player: t: 0.17, MSLAlt: 1276.72, speed(m/s): 242.84, heading: 3.35, x: -275222.29, y: 1276.72, z: 685560.02, pitch: 1.31, bank: 0.64, yaw: 192.10 Emitters.Mode: 0 
Player: t: 0.19, MSLAlt: 1276.71, speed(m/s): 242.80, heading: 3.35, x: -275226.05, y: 1276.71, z: 685559.20, pitch: 1.28, bank: 0.74, yaw: 192.06 Emitters.Mode: 0 
Player: t: 0.20, MSLAlt: 1276.71, speed(m/s): 242.75, heading: 3.35, x: -275229.56, y: 1276.70, z: 685558.43, pitch: 1.26, bank: 0.81, yaw: 192.03 Emitters.Mode: 0 
Player: t: 0.22, MSLAlt: 1276.70, speed(m/s): 242.68, heading: 3.35, x: -275234.06, y: 1276.70, z: 685557.44, pitch: 1.23, bank: 0.90, yaw: 191.99 Emitters.Mode: 0 
Player: t: 0.23, MSLAlt: 1276.69, speed(m/s): 242.68, heading: 3.35, x: -275237.32, y: 1276.69, z: 685556.73, pitch: 1.21, bank: 0.95, yaw: 191.97 Emitters.Mode: 0 
